Date : 2025-03-22 14:56:12
Directory : d:\Users\normalpcer\Documents\sync_code
Total : 683 files,  80556 codes, 7696 comments, 9669 blanks, all 97921 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Users\normalpcer\Documents\sync_code\P3147_[USACO16OPEN]_262144_P.cpp                                                                       | C++                |         40 |          3 |          8 |         51 |
| d:\Users\normalpcer\Documents\sync_code\P3157_[CQOI2011]_动态逆序对.cpp                                                                             | C++                |        127 |          3 |         26 |        156 |
| d:\Users\normalpcer\Documents\sync_code\P3166_[CQOI2014]_数三角形.cpp                                                                              | C++                |         38 |         12 |          8 |         58 |
| d:\Users\normalpcer\Documents\sync_code\P3177_[HAOI2015]_树上染色.cpp                                                                              | C++                |         52 |          5 |         10 |         67 |
| d:\Users\normalpcer\Documents\sync_code\P3178_[HAOI2015]_树上操作.cpp                                                                              | C++                |        145 |          3 |          9 |        157 |
| d:\Users\normalpcer\Documents\sync_code\P3216_[HNOI2011]_数学作业.cpp                                                                              | C++                |         97 |         18 |         15 |        130 |
| d:\Users\normalpcer\Documents\sync_code\P3258_[JLOI2014]_松鼠的新家.cpp                                                                             | C++                |         85 |          3 |         23 |        111 |
| d:\Users\normalpcer\Documents\sync_code\P3306_[SDOI2013]_随机数生成器.cpp                                                                            | C++                |        150 |         16 |         15 |        181 |
| d:\Users\normalpcer\Documents\sync_code\P3313_[SDOI2014]_旅行.cpp                                                                                | C++                |        179 |          5 |         11 |        195 |
| d:\Users\normalpcer\Documents\sync_code\P3369_【模板】普通平衡树__.cpp                                                                                  | C++                |         82 |          5 |         20 |        107 |
| d:\Users\normalpcer\Documents\sync_code\P3374_【模板】树状数组_1.cpp                                                                                   | C++                |         68 |          4 |         16 |         88 |
| d:\Users\normalpcer\Documents\sync_code\P3384_【模板】重链剖分_树链剖分.cpp                                                                                | C++                |        177 |          5 |          8 |        190 |
| d:\Users\normalpcer\Documents\sync_code\P3390_【模板】矩阵快速幂.cpp                                                                                    | C++                |         76 |          5 |         11 |         92 |
| d:\Users\normalpcer\Documents\sync_code\P3401_洛谷树.cpp                                                                                          | C++                |        217 |         11 |         12 |        240 |
| d:\Users\normalpcer\Documents\sync_code\P3401_洛谷树.cpy.cpp                                                                                      | C++                |        220 |          4 |         14 |        238 |
| d:\Users\normalpcer\Documents\sync_code\P3401_洛谷树.cpy2.cpp                                                                                     | C++                |        261 |         15 |         13 |        289 |
| d:\Users\normalpcer\Documents\sync_code\P3431_[POI2005]_AUT_The_Bus.cpp                                                                        | C++                |         83 |          3 |         10 |         96 |
| d:\Users\normalpcer\Documents\sync_code\P3459_[POI2007]_MEG_Megalopolis.cpp                                                                    | C++                |         87 |          3 |         20 |        110 |
| d:\Users\normalpcer\Documents\sync_code\P3478_[POI2008]_STA_Station.cpp                                                                        | C++                |        195 |          7 |         17 |        219 |
| d:\Users\normalpcer\Documents\sync_code\P3512_[POI2010]_PIL_Pilots.cpp                                                                         | C++                |         35 |          8 |         14 |         57 |
| d:\Users\normalpcer\Documents\sync_code\P3522_[POI2011]_TEM_Temperature.cpp                                                                    | C++                |         38 |          4 |         14 |         56 |
| d:\Users\normalpcer\Documents\sync_code\P3572_[POI2014]_PTA_Little_Bird.cpp                                                                    | C++                |         44 |          3 |         13 |         60 |
| d:\Users\normalpcer\Documents\sync_code\P3658_[USACO17FEB]_Why_Did_the_Cow_Cross_the_Road_III_P.cpp                                            | C++                |         91 |          3 |         24 |        118 |
| d:\Users\normalpcer\Documents\sync_code\P3695_CYaRon.cpp                                                                                       | C++                |      1,550 |        106 |         25 |      1,681 |
| d:\Users\normalpcer\Documents\sync_code\P3758_[TJOI2017]_可乐.cpp                                                                                | C++                |        100 |          3 |         15 |        118 |
| d:\Users\normalpcer\Documents\sync_code\P3797_妖梦斩木棒.cpp                                                                                        | C++                |         80 |          3 |         11 |         94 |
| d:\Users\normalpcer\Documents\sync_code\P3800_Power收集.cpp                                                                                      | C++                |         37 |          3 |         10 |         50 |
| d:\Users\normalpcer\Documents\sync_code\P3810_【模板】三维偏序（陌上花开）.cpp                                                                               | C++                |         92 |          4 |         25 |        121 |
| d:\Users\normalpcer\Documents\sync_code\P3812_【模板】线性基.cpp                                                                                      | C++                |         22 |          3 |          9 |         34 |
| d:\Users\normalpcer\Documents\sync_code\P3821_Isaac.cpp                                                                                        | C++                |        145 |         13 |         21 |        179 |
| d:\Users\normalpcer\Documents\sync_code\P3833_[SHOI2012]_魔法树.cpp                                                                               | C++                |        132 |          3 |          7 |        142 |
| d:\Users\normalpcer\Documents\sync_code\P3834_【模板】可持久化线段树_2.cpp                                                                                | C++                |         73 |          7 |         11 |         91 |
| d:\Users\normalpcer\Documents\sync_code\P3846_[TJOI2007]_可爱的质数_【模板】BSGS.cpp                                                                    | C++                |         49 |         10 |          9 |         68 |
| d:\Users\normalpcer\Documents\sync_code\P3899_[湖南集训]_更为厉害.cpp                                                                                  | C++                |        140 |         10 |         31 |        181 |
| d:\Users\normalpcer\Documents\sync_code\P3950_部落冲突.cpp                                                                                         | C++                |        119 |          3 |         11 |        133 |
| d:\Users\normalpcer\Documents\sync_code\P3957_[NOIP2017_普及组]_跳房子.cpp                                                                           | C++                |         94 |          8 |         16 |        118 |
| d:\Users\normalpcer\Documents\sync_code\P3959_[NOIP2017_提高组]_宝藏.cpp                                                                            | C++                |        195 |        101 |         13 |        309 |
| d:\Users\normalpcer\Documents\sync_code\P3976_[TJOI2015]_旅游.cpp                                                                                | C++                |        196 |         10 |         11 |        217 |
| d:\Users\normalpcer\Documents\sync_code\P3977_[TJOI2015]_棋盘.cpp                                                                                | C++                |        132 |         28 |         23 |        183 |
| d:\Users\normalpcer\Documents\sync_code\P3979_遥远的国度.cpp                                                                                        | C++                |        164 |          7 |         11 |        182 |
| d:\Users\normalpcer\Documents\sync_code\P4028_New_Product.cpp                                                                                  | C++                |         61 |          3 |         10 |         74 |
| d:\Users\normalpcer\Documents\sync_code\P4092_[HEOI2016_TJOI2016]_树.cpp                                                                        | C++                |        108 |          3 |          7 |        118 |
| d:\Users\normalpcer\Documents\sync_code\P4093_[HEOI2016_TJOI2016]_序列.cpp                                                                       | C++                |         94 |          4 |         28 |        126 |
| d:\Users\normalpcer\Documents\sync_code\P4114_Qtree1.cpp                                                                                       | C++                |        139 |          3 |          8 |        150 |
| d:\Users\normalpcer\Documents\sync_code\P4116_Qtree3.cpp                                                                                       | C++                |         85 |          3 |          9 |         97 |
| d:\Users\normalpcer\Documents\sync_code\P4145_上帝造题的七分钟_2___花神游历各国.cpp                                                                          | C++                |         80 |          3 |          8 |         91 |
| d:\Users\normalpcer\Documents\sync_code\P4159_[SCOI2009]_迷路.cpp                                                                                | C++                |        114 |          9 |         11 |        134 |
| d:\Users\normalpcer\Documents\sync_code\P4169_[Violet]_天使玩偶_SJY摆棋子.cpp                                                                         | C++                |        112 |          4 |         24 |        140 |
| d:\Users\normalpcer\Documents\sync_code\P4170.check.py                                                                                         | Python             |         33 |          0 |          7 |         40 |
| d:\Users\normalpcer\Documents\sync_code\P4170_[CQOI2007]_涂色.cpp                                                                                | C++                |        329 |         10 |         31 |        370 |
| d:\Users\normalpcer\Documents\sync_code\P4180_[BJWC2010]_严格次小生成树.cpp                                                                           | C++                |        130 |          5 |         36 |        171 |
| d:\Users\normalpcer\Documents\sync_code\P4290_[HAOI2008]_玩具取名.cpp                                                                              | C++                |         69 |          3 |         10 |         82 |
| d:\Users\normalpcer\Documents\sync_code\P4310_绝世好题.cpp                                                                                         | C++                |         33 |          3 |          8 |         44 |
| d:\Users\normalpcer\Documents\sync_code\P4315_月下毛景树.cpp                                                                                        | C++                |        201 |          3 |         18 |        222 |
| d:\Users\normalpcer\Documents\sync_code\P4362_[NOI2002]_贪吃的九头龙.cpp                                                                             | C++                |         68 |          4 |         12 |         84 |
| d:\Users\normalpcer\Documents\sync_code\P4374_[USACO18OPEN]_Disruption_P.cpp                                                                   | C++                |        143 |         12 |         13 |        168 |
| d:\Users\normalpcer\Documents\sync_code\P4390_[BalkanOI2007]_Mokia_摩基亚.cpp                                                                     | C++                |        107 |          4 |         24 |        135 |
| d:\Users\normalpcer\Documents\sync_code\P4427_[BJOI2018]_求和.cpp                                                                                | C++                |         99 |          3 |          7 |        109 |
| d:\Users\normalpcer\Documents\sync_code\P4454_[CQOI2018]_破解D_H协议.cpp                                                                           | C++                |         56 |         11 |         14 |         81 |
| d:\Users\normalpcer\Documents\sync_code\P4667_[BalticOI_2011_Day1]_Switch_the_Lamp_On_电路维修.cpp                                                 | C++                |        185 |         14 |         15 |        214 |
| d:\Users\normalpcer\Documents\sync_code\P4677_山区建小学.cpp                                                                                        | C++                |         37 |          3 |         10 |         50 |
| d:\Users\normalpcer\Documents\sync_code\P4799_[CEOI2015_Day2]_世界冰球锦标赛.cpp                                                                      | C++                |         64 |          5 |         12 |         81 |
| d:\Users\normalpcer\Documents\sync_code\P4838_P哥破解密码.cpp                                                                                       | C++                |         93 |         13 |         15 |        121 |
| d:\Users\normalpcer\Documents\sync_code\P4861_按钮.cpp                                                                                           | C++                |         55 |         31 |         13 |         99 |
| d:\Users\normalpcer\Documents\sync_code\P4884_多少个_1.cpp                                                                                        | C++                |         50 |          8 |         12 |         70 |
| d:\Users\normalpcer\Documents\sync_code\P4910_帕秋莉的手环.cpp                                                                                       | C++                |         98 |         25 |         16 |        139 |
| d:\Users\normalpcer\Documents\sync_code\P4911 copy.cpp                                                                                         | C++                |        622 |         61 |         83 |        766 |
| d:\Users\normalpcer\Documents\sync_code\P4911.solution.md                                                                                      | Markdown           |        250 |          0 |         60 |        310 |
| d:\Users\normalpcer\Documents\sync_code\P4911_河童重工的计算机.cpp                                                                                     | C++                |        578 |         54 |         82 |        714 |
| d:\Users\normalpcer\Documents\sync_code\P4944_PION贪吃蛇.cpp                                                                                      | C++                |        203 |         11 |         17 |        231 |
| d:\Users\normalpcer\Documents\sync_code\P5004_专心OI___跳房子.cpp                                                                                   | C++                |         83 |         20 |         10 |        113 |
| d:\Users\normalpcer\Documents\sync_code\P5020_[NOIP2018_提高组]_货币系统.cpp                                                                          | C++                |         32 |          3 |          9 |         44 |
| d:\Users\normalpcer\Documents\sync_code\P5127.solution.md                                                                                      | Markdown           |        230 |          0 |         23 |        253 |
| d:\Users\normalpcer\Documents\sync_code\P5127_子异和.cpp                                                                                          | C++                |        179 |         24 |         12 |        215 |
| d:\Users\normalpcer\Documents\sync_code\P5227_[AHOI2013]_连通图.cpp                                                                               | C++                |        113 |         10 |         22 |        145 |
| d:\Users\normalpcer\Documents\sync_code\P5300_[GXOI_GZOI2019]_与或和.cpp                                                                          | C++                |        113 |         14 |         19 |        146 |
| d:\Users\normalpcer\Documents\sync_code\P5343_【XR_1】分块.cpp                                                                                     | C++                |        104 |         12 |         18 |        134 |
| d:\Users\normalpcer\Documents\sync_code\P5380.check.py                                                                                         | Python             |         57 |          5 |         13 |         75 |
| d:\Users\normalpcer\Documents\sync_code\P5380.solution.md                                                                                      | Markdown           |        397 |          0 |         72 |        469 |
| d:\Users\normalpcer\Documents\sync_code\P5380_[THUPC2019]_鸭棋.copy.cpp                                                                          | C++                |        141 |         11 |         20 |        172 |
| d:\Users\normalpcer\Documents\sync_code\P5380_[THUPC2019]_鸭棋.cpp                                                                               | C++                |        316 |         50 |         24 |        390 |
| d:\Users\normalpcer\Documents\sync_code\P5459_[BJOI2016]_回转寿司.cpp                                                                              | C++                |         52 |          3 |         18 |         73 |
| d:\Users\normalpcer\Documents\sync_code\P5490_【模板】扫描线___矩形面积并.cpp                                                                              | C++                |        104 |          4 |         16 |        124 |
| d:\Users\normalpcer\Documents\sync_code\P5522_[yLOI2019]_棠梨煎雪.cpp                                                                              | C++                |        104 |          3 |         10 |        117 |
| d:\Users\normalpcer\Documents\sync_code\P5658_[CSP_S2019]_括号树.cpp                                                                              | C++                |         53 |          3 |         10 |         66 |
| d:\Users\normalpcer\Documents\sync_code\P5662_[CSP_J2019]_纪念品.cpp                                                                              | C++                |         47 |          9 |          8 |         64 |
| d:\Users\normalpcer\Documents\sync_code\P5678_[GZOI2017]_河神.cpp                                                                                | C++                |         82 |         18 |         14 |        114 |
| d:\Users\normalpcer\Documents\sync_code\P5691_[NOI2001]_方程的解数.cpp                                                                              | C++                |         64 |          3 |         14 |         81 |
| d:\Users\normalpcer\Documents\sync_code\P5787_二分图__【模板】线段树分治.cpp                                                                               | C++                |         90 |          6 |         18 |        114 |
| d:\Users\normalpcer\Documents\sync_code\P5838_[USACO19DEC]_Milk_Visits_G.cpp                                                                   | C++                |         82 |          3 |         10 |         95 |
| d:\Users\normalpcer\Documents\sync_code\P6005_[USACO20JAN]_Time_is_Mooney_G.cpp                                                                | C++                |         36 |          8 |          9 |         53 |
| d:\Users\normalpcer\Documents\sync_code\P6006_[USACO20JAN]_Farmer_John_Solves_3SUM_G.cpp                                                       | C++                |         45 |         15 |         10 |         70 |
| d:\Users\normalpcer\Documents\sync_code\P6007_[USACO20JAN]_Springboards_G.cpp                                                                  | C++                |        114 |          6 |         24 |        144 |
| d:\Users\normalpcer\Documents\sync_code\P6098_[USACO19FEB]_Cow_Land_G.cpp                                                                      | C++                |        112 |          3 |          9 |        124 |
| d:\Users\normalpcer\Documents\sync_code\P6145_[USACO20FEB]_Timeline_G.cpp                                                                      | C++                |         46 |          8 |         12 |         66 |
| d:\Users\normalpcer\Documents\sync_code\P6146_[USACO20FEB]_Help_Yourself_G.cpp                                                                 | C++                |         40 |          9 |          8 |         57 |
| d:\Users\normalpcer\Documents\sync_code\P6147_[USACO20FEB]_Delegation_G.cpp                                                                    | C++                |         69 |         24 |         13 |        106 |
| d:\Users\normalpcer\Documents\sync_code\P6190_[NOI_Online_#1_入门组]_魔法.cpp                                                                       | C++                |        155 |         49 |         22 |        226 |
| d:\Users\normalpcer\Documents\sync_code\P6221_[COCI2019_2020#6]_Trener.cpp                                                                     | C++                |         36 |          3 |          9 |         48 |
| d:\Users\normalpcer\Documents\sync_code\P6278_[USACO20OPEN]_Haircut_G.cpp                                                                      | C++                |         56 |         11 |         11 |         78 |
| d:\Users\normalpcer\Documents\sync_code\P6279_[USACO20OPEN]_Favorite_Colors_G.cpp                                                              | C++                |         55 |         13 |         16 |         84 |
| d:\Users\normalpcer\Documents\sync_code\P6280_[USACO20OPEN]_Exercise_G.cpp                                                                     | C++                |         48 |          4 |          8 |         60 |
| d:\Users\normalpcer\Documents\sync_code\P6323_[COCI2006_2007#4]_ZBRKA.cpp                                                                      | C++                |         31 |          3 |          8 |         42 |
| d:\Users\normalpcer\Documents\sync_code\P6477_[NOI_Online_#2_提高组]_子序列问题.cpp                                                                    | C++                |         95 |          6 |         11 |        112 |
| d:\Users\normalpcer\Documents\sync_code\P6492_[COCI2010_2011#6]_STEP.cpp                                                                       | C++                |         70 |          3 |         14 |         87 |
| d:\Users\normalpcer\Documents\sync_code\P6569_[NOI_Online_#3_提高组]_魔法值.cpp                                                                      | C++                |         87 |         35 |         17 |        139 |
| d:\Users\normalpcer\Documents\sync_code\P6772_[NOI2020]_美食家.cpp                                                                                | C++                |        162 |         46 |         34 |        242 |
| d:\Users\normalpcer\Documents\sync_code\P6869_[COCI2019_2020#5]_Putovanje.cpp                                                                  | C++                |         95 |          9 |          8 |        112 |
| d:\Users\normalpcer\Documents\sync_code\P6870_[COCI2019_2020#5]_Zapina.cpp                                                                     | C++                |         57 |          9 |          8 |         74 |
| d:\Users\normalpcer\Documents\sync_code\P6883_[COCI2016_2017#3]_Kroničan.cpp                                                                   | C++                |         47 |          3 |          8 |         58 |
| d:\Users\normalpcer\Documents\sync_code\P7057_[NWRRC2015]_Journey_to_the_The_Worlds_Start.cpp                                                  | C++                |         86 |          4 |         10 |        100 |
| d:\Users\normalpcer\Documents\sync_code\P7075.solution.md                                                                                      | Markdown           |        175 |          0 |         34 |        209 |
| d:\Users\normalpcer\Documents\sync_code\P7075_[CSP_S2020]_儒略日.cpp                                                                              | C++                |        368 |         18 |         30 |        416 |
| d:\Users\normalpcer\Documents\sync_code\P7113.solution.md                                                                                      | Markdown           |         95 |          0 |         15 |        110 |
| d:\Users\normalpcer\Documents\sync_code\P7113_[NOIP2020]_排水系统.cpp                                                                              | C++                |         76 |          3 |          9 |         88 |
| d:\Users\normalpcer\Documents\sync_code\P7151_[USACO20DEC]_Replication_G.cpp                                                                   | C++                |         13 |          6 |          3 |         22 |
| d:\Users\normalpcer\Documents\sync_code\P7152_[USACO20DEC]_Bovine_Genetics_G.cpp                                                               | C++                |         69 |         69 |          9 |        147 |
| d:\Users\normalpcer\Documents\sync_code\P7153_[USACO20DEC]_Square_Pasture_G.cpp                                                                | C++                |         70 |         39 |         18 |        127 |
| d:\Users\normalpcer\Documents\sync_code\P7162_[COCI2020_2021#2]_Sjekira.cpp                                                                    | C++                |         64 |          9 |          9 |         82 |
| d:\Users\normalpcer\Documents\sync_code\P7165_[COCI2020_2021#1]_Papričice.cpp                                                                  | C++                |         92 |         22 |          9 |        123 |
| d:\Users\normalpcer\Documents\sync_code\P7170_[COCI2020_2021#3]_Sateliti.cpp                                                                   | C++                |         96 |         16 |         12 |        124 |
| d:\Users\normalpcer\Documents\sync_code\P7170_[COCI2020_2021#3]_Sateliti_1d.cpp                                                                | C++                |         49 |          6 |         10 |         65 |
| d:\Users\normalpcer\Documents\sync_code\P7210_[COCI2020_2021#3]_Vlak.cpp                                                                       | C++                |        101 |         16 |         11 |        128 |
| d:\Users\normalpcer\Documents\sync_code\P7281_[COCI2020_2021#4]_Vepar.cpp                                                                      | C++                |         74 |         15 |         12 |        101 |
| d:\Users\normalpcer\Documents\sync_code\P7282_[COCI2020_2021#4]_Hop.cpp                                                                        | C++                |         40 |         19 |          8 |         67 |
| d:\Users\normalpcer\Documents\sync_code\P7284_[COCI2020_2021#4]_Patkice_II.cpp                                                                 | C++                |        125 |          4 |         16 |        145 |
| d:\Users\normalpcer\Documents\sync_code\P7296_[USACO21JAN]_Uddered_but_not_Herd_G.cpp                                                          | C++                |         79 |         13 |         12 |        104 |
| d:\Users\normalpcer\Documents\sync_code\P7297_[USACO21JAN]_Telephone_G.cpp                                                                     | C++                |        136 |         38 |         17 |        191 |
| d:\Users\normalpcer\Documents\sync_code\P7298_[USACO21JAN]_Dance_Mooves_G.cpp                                                                  | C++                |         38 |          7 |          7 |         52 |
| d:\Users\normalpcer\Documents\sync_code\P7302_[NOI1998]_免费的馅饼.cpp                                                                              | C++                |         75 |         15 |         11 |        101 |
| d:\Users\normalpcer\Documents\sync_code\P7381_[COCI2018_2019#6]_Sličice.cpp                                                                    | C++                |         48 |          3 |         11 |         62 |
| d:\Users\normalpcer\Documents\sync_code\P7552_[COCI_2020_2021_#6]_Anagramistica.cpp                                                            | C++                |         58 |         13 |         10 |         81 |
| d:\Users\normalpcer\Documents\sync_code\P7610_[THUPC2021]_群星连结.cpp                                                                             | C++                |        524 |         53 |        101 |        678 |
| d:\Users\normalpcer\Documents\sync_code\P7735_[NOI2021]_轻重边.cpp                                                                                | C++                |        194 |         19 |         10 |        223 |
| d:\Users\normalpcer\Documents\sync_code\P7867_「EVOI_RD1」马戏团.cpp                                                                                | C++                |        103 |          4 |         11 |        118 |
| d:\Users\normalpcer\Documents\sync_code\P7867_「EVOI_RD1」马戏团.zcopy.cpp                                                                          | C++                |         11 |          3 |          5 |         19 |
| d:\Users\normalpcer\Documents\sync_code\P7914_[CSP_S_2021]_括号序列.cpp                                                                            | C++                |        102 |         25 |         21 |        148 |
| d:\Users\normalpcer\Documents\sync_code\P7915_[CSP_S_2021].cpp                                                                                 | C++                |        373 |          7 |         30 |        410 |
| d:\Users\normalpcer\Documents\sync_code\P8010_「Wdsr_3」令人感伤的红雨.cpp                                                                              | C++                |        347 |         29 |         16 |        392 |
| d:\Users\normalpcer\Documents\sync_code\P8251_[NOI_Online_2022_提高组]_丹钓战.cpp                                                                    | C++                |         70 |          4 |         13 |         87 |
| d:\Users\normalpcer\Documents\sync_code\P8289_[省选联考_2022]_预处理器.cpp                                                                             | C++                |        109 |         15 |         17 |        141 |
| d:\Users\normalpcer\Documents\sync_code\P8405_[COCI_2021_2022_#6]_Naboj.cpp                                                                    | C++                |         63 |          3 |         13 |         79 |
| d:\Users\normalpcer\Documents\sync_code\P8564_ρars_ey.cpp                                                                                      | C++                |         52 |          3 |         10 |         65 |
| d:\Users\normalpcer\Documents\sync_code\P8756_国际象棋.cpp                                                                                         | C++                |        115 |         20 |         10 |        145 |
| d:\Users\normalpcer\Documents\sync_code\P8773_[蓝桥杯_2022_省_A]_选数异或.cpp                                                                          | C++                |         46 |          3 |         14 |         63 |
| d:\Users\normalpcer\Documents\sync_code\P8815_[CSP_J_2022]_逻辑表达式.py                                                                            | Python             |         41 |          0 |          8 |         49 |
| d:\Users\normalpcer\Documents\sync_code\P8819_[CSP_S_2022]_星战.cpp                                                                              | C++                |         85 |          3 |         13 |        101 |
| d:\Users\normalpcer\Documents\sync_code\P8850 题解.md                                                                                            | Markdown           |        118 |          0 |         35 |        153 |
| d:\Users\normalpcer\Documents\sync_code\P8850_[JRKSJ_R5]_Jalapeno_and_Garlic.cpp                                                               | C++                |         48 |         53 |         12 |        113 |
| d:\Users\normalpcer\Documents\sync_code\P9029_[COCI_2022_2023_#1]_Čokolade.cpp                                                                 | C++                |         78 |         23 |         11 |        112 |
| d:\Users\normalpcer\Documents\sync_code\P9176_[COCI_2022_2023_#4]_Vrsta.cpp                                                                    | C++                |         70 |         14 |         10 |         94 |
| d:\Users\normalpcer\Documents\sync_code\P9178_[COCI_2022_2023_#5]_Diskurs.cpp                                                                  | C++                |         28 |         26 |          8 |         62 |
| d:\Users\normalpcer\Documents\sync_code\P9179_[COCI_2022_2023_#5]_Logaritam.cpp                                                                | C++                |         55 |         23 |         10 |         88 |
| d:\Users\normalpcer\Documents\sync_code\P9234_[蓝桥杯_2023_省_A]_买瓜.cpp                                                                            | C++                |         59 |         14 |         11 |         84 |
| d:\Users\normalpcer\Documents\sync_code\P9753_[CSP_S_2023]_消消乐.cpp                                                                             | C++                |        157 |         13 |         10 |        180 |
| d:\Users\normalpcer\Documents\sync_code\P9754_[CSP_S_2023]_结构体.cpp                                                                             | C++                |        325 |         45 |         38 |        408 |
| d:\Users\normalpcer\Documents\sync_code\P9759_[COCI_2022_2023_#3]_Bomboni.cpp                                                                  | C++                |         49 |         18 |         10 |         77 |
| d:\Users\normalpcer\Documents\sync_code\P9871_[NOIP2023]_天天爱打卡.cpp                                                                             | C++                |        175 |         16 |         11 |        202 |
| d:\Users\normalpcer\Documents\sync_code\P9905_[COCI_2023_2024_#1]_AN2DL.cpp                                                                    | C++                |         57 |         14 |         13 |         84 |
| d:\Users\normalpcer\Documents\sync_code\P9911_[COCI_2023_2024_#2]_Kuglice.cpp                                                                  | C++                |         52 |         19 |         13 |         84 |
| d:\Users\normalpcer\Documents\sync_code\P9912_[COCI_2023_2024_#2]_Zatopljenje.cpp                                                              | C++                |         92 |         10 |         13 |        115 |
| d:\Users\normalpcer\Documents\sync_code\SP1043_GSS1___Can_you_answer_these_queries_I.cpp                                                       | C++                |         72 |          5 |          8 |         85 |
| d:\Users\normalpcer\Documents\sync_code\SP1557_GSS2___Can_you_answer_these_queries_II.cpp                                                      | C++                |         60 |          3 |         11 |         74 |
| d:\Users\normalpcer\Documents\sync_code\SP1716_GSS3___Can_you_answer_these_queries_III.cpp                                                     | C++                |         86 |          5 |          8 |         99 |
| d:\Users\normalpcer\Documents\sync_code\SP2916_GSS5___Can_you_answer_these_queries_V.cpp                                                       | C++                |        154 |          7 |         22 |        183 |
| d:\Users\normalpcer\Documents\sync_code\SP6779_GSS7___Can_you_answer_these_queries_VII.cpp                                                     | C++                |        178 |          6 |          9 |        193 |
| d:\Users\normalpcer\Documents\sync_code\T519316_【模板】取模.cpp                                                                                     | C++                |         36 |          3 |          7 |         46 |
| d:\Users\normalpcer\Documents\sync_code\T565373 「TFXOI R1」我欲于群山之巅.cpp                                                                          | C++                |        108 |          6 |         13 |        127 |
| d:\Users\normalpcer\Documents\sync_code\T565382 「TFXOI R1」创世纪.cpp                                                                              | C++                |        370 |         26 |         24 |        420 |
| d:\Users\normalpcer\Documents\sync_code\T565382 「TFXOI R1」创世纪.md                                                                               | Markdown           |         95 |          0 |         29 |        124 |
| d:\Users\normalpcer\Documents\sync_code\T587716_「言出法随」.cpp                                                                                     | C++                |         42 |          3 |          6 |         51 |
| d:\Users\normalpcer\Documents\sync_code\U81904_【模板】树的直径.cpp                                                                                    | C++                |        309 |         13 |         30 |        352 |
| d:\Users\normalpcer\Documents\sync_code\UVA12421_(Jiandan)_Mua_(I)___Lexical_Analyzer.cpp                                                      | C++                |      1,050 |         49 |         43 |      1,142 |
| d:\Users\normalpcer\Documents\sync_code\UVA12422.translate.md                                                                                  | Markdown           |         73 |          0 |         34 |        107 |
| d:\Users\normalpcer\Documents\sync_code\UVA12423.translate.md                                                                                  | Markdown           |         55 |          0 |         29 |         84 |
| d:\Users\normalpcer\Documents\sync_code\[ABC270D]_Stones.cpp                                                                                   | C++                |         31 |         12 |         10 |         53 |
| d:\Users\normalpcer\Documents\sync_code\__P3369_【模板】普通平衡树__ copy.cpp                                                                           | C++                |        240 |          5 |         20 |        265 |
| d:\Users\normalpcer\Documents\sync_code\__SegmentTree.cpp                                                                                      | C++                |        146 |          0 |         19 |        165 |
| d:\Users\normalpcer\Documents\sync_code\__bigInt.cpp                                                                                           | C++                |        236 |          2 |         34 |        272 |
| d:\Users\normalpcer\Documents\sync_code\_c.cpp                                                                                                 | C++                |         14 |          5 |          9 |         28 |
| d:\Users\normalpcer\Documents\sync_code\_check.cpp                                                                                             | C++                |        134 |          2 |         29 |        165 |
| d:\Users\normalpcer\Documents\sync_code\_d.cpp                                                                                                 | C++                |         11 |          3 |          6 |         20 |
| d:\Users\normalpcer\Documents\sync_code\_g.cpp                                                                                                 | C++                |         11 |          3 |          7 |         21 |
| d:\Users\normalpcer\Documents\sync_code\_nd.cpp                                                                                                | C++                |         40 |          3 |          9 |         52 |
| d:\Users\normalpcer\Documents\sync_code\_posts\1.md                                                                                            | Markdown           |        278 |          0 |        193 |        471 |
| d:\Users\normalpcer\Documents\sync_code\_test_untitled_map.cpp                                                                                 | C++                |        277 |          3 |         48 |        328 |
| d:\Users\normalpcer\Documents\sync_code\aChineseChessSoftwareWrittenWithPythonWhichAllowsOnlinePlayingWithAI_ByBcdmwsjy.py                     | Python             |        272 |          1 |         45 |        318 |
| d:\Users\normalpcer\Documents\sync_code\add.py                                                                                                 | Python             |          5 |          1 |          2 |          8 |
| d:\Users\normalpcer\Documents\sync_code\bcdmwSjy 的聊天客户端.py                                                                                     | Python             |         86 |          2 |         21 |        109 |
| d:\Users\normalpcer\Documents\sync_code\check.cpp                                                                                              | C++                |        113 |          1 |         25 |        139 |
| d:\Users\normalpcer\Documents\sync_code\check.py                                                                                               | Python             |         18 |          0 |          5 |         23 |
| d:\Users\normalpcer\Documents\sync_code\check_arena.cpp                                                                                        | C++                |        237 |          3 |         40 |        280 |
| d:\Users\normalpcer\Documents\sync_code\check_arena0.cpp                                                                                       | C++                |        136 |         38 |         17 |        191 |
| d:\Users\normalpcer\Documents\sync_code\check_arena1.cpp                                                                                       | C++                |        159 |         41 |         24 |        224 |
| d:\Users\normalpcer\Documents\sync_code\check_arena2.cpp                                                                                       | C++                |         79 |          0 |          0 |         79 |
| d:\Users\normalpcer\Documents\sync_code\check_arena3.cpp                                                                                       | C++                |        111 |          0 |          0 |        111 |
| d:\Users\normalpcer\Documents\sync_code\check_arena4.cpp                                                                                       | C++                |         88 |          0 |          5 |         93 |
